league_id,league_name,country_name,league_type
4,Euro Championship,World,Cup
21,Confederations Cup,World,Cup
62,Ligue 2,France,League
61,Ligue 1,France,League
144,Jupiler Pro League,Belgium,League
71,Serie A,Brazil,League
39,Premier League,England,League
78,Bundesliga,Germany,League
135,Serie A,Italy,League
88,Eredivisie,Netherlands,League
94,Primeira Liga,Portugal,League
140,La Liga,Spain,League
179,Premiership,Scotland,League
180,Championship,Scotland,League
1,World Cup,World,Cup
803,Asian Games,World,Cup
804,Caribbean Cup,World,Cup
390,Premier League,Lebanon,League
261,National Division,Luxembourg,League
306,Second Division,Qatar,League
305,Stars League,Qatar,League
40,Championship,England,League
46,EFL Trophy,England,Cup
45,FA Cup,England,Cup
47,FA Trophy,England,Cup
48,League Cup,England,Cup
43,National League,England,League
41,League One,England,League
42,League Two,England,League
568,Eerste Divisie,Suriname,League
571,Vysshaya Liga,Tajikistan,League
586,West Bank Premier League,Palestine,League
588,National League,Myanmar,League
591,Pro League,Trinidad-And-Tobago,League
335,Cup,Ukraine,Cup
336,Druha Liga,Ukraine,League
334,Persha Liga,Ukraine,League
333,Premier League,Ukraine,League
301,Pro League,United-Arab-Emirates,League
303,Division 1,United-Arab-Emirates,League
302,League Cup,United-Arab-Emirates,Cup
269,Segunda División,Uruguay,League
202,Ligue 1,Tunisia,League
203,Süper Lig,Turkey,League
204,1. Lig,Turkey,League
205,2. Lig,Turkey,League
206,Cup,Turkey,Cup
552,3. Lig - Group 1,Turkey,League
553,3. Lig - Group 2,Turkey,League
554,3. Lig - Group 3,Turkey,League
63,National 1,France,League
66,Coupe de France,France,Cup
65,Coupe de la Ligue,France,Cup
67,National 2 - Group A,France,League
68,National 2 - Group B,France,League
69,National 2 - Group C,France,League
70,National 2 - Group D,France,League
7,Asian Cup,World,Cup
8,World Cup - Women,World,Cup
186,Ligue 1,Algeria,League
187,Ligue 2,Algeria,League
512,2nd Division - Group A,Albania,League
513,2nd Division - Group B,Albania,League
312,1a Divisió,Andorra,League
313,2a Divisió,Andorra,League
131,Primera B Metropolitana,Argentina,League
129,Primera Nacional,Argentina,League
132,Primera C,Argentina,League
133,Primera D,Argentina,League
134,Torneo Federal A,Argentina,League
188,A-League,Australia,League
191,Brisbane Premier League,Australia,League
193,Northern Territory Premier League,Australia,League
220,Cup,Austria,Cup
219,2. Liga,Austria,League
218,Bundesliga,Austria,League
418,Birinci Dasta,Azerbaijan,League
419,Premyer Liqa,Azerbaijan,League
222,Regionalliga - Mitte,Austria,League
221,Regionalliga - Ost,Austria,League
223,Regionalliga - West,Austria,League
110,Premier League,Wales,League
112,Welsh Cup,Wales,Cup
299,Primera División,Venezuela,League
300,Segunda División,Venezuela,League
406,Professional League,Oman,League
322,Premier League,Jamaica,League
387,League,Jordan,League
388,1. Division,Kazakhstan,League
330,Premier League,Kuwait,League
119,Superliga,Denmark,League
120,1. Division,Denmark,League
124,Denmark Series - Group 1,Denmark,League
125,Denmark Series - Group 2,Denmark,League
126,Denmark Series - Group 3,Denmark,League
234,Liga Nacional,Honduras,League
381,HKFA 1st Division,Hong-Kong,League
380,Premier League,Hong-Kong,League
273,Magyar Kupa,Hungary,Cup
271,NB I,Hungary,League
272,NB II,Hungary,League
233,Premier League,Egypt,League
370,Primera Division,El-Salvador,League
328,Esiliiga A,Estonia,League
329,Meistriliiga,Estonia,League
326,Erovnuli Liga 2,Georgia,League
570,Premier League,Ghana,League
377,Division d'Honneur,Guadeloupe,League
339,Liga Nacional,Guatemala,League
338,Primera Division,Guatemala,League
199,Cup,Greece,Cup
198,Football League,Greece,League
197,Super League 1,Greece,League
79,2. Bundesliga,Germany,League
80,3. Liga,Germany,League
529,Super Cup,Germany,Cup
81,DFB Pokal,Germany,Cup
15,FIFA Club World Cup,World,Cup
2,UEFA Champions League,World,Cup
311,1st Division,Albania,League
310,Superliga,Albania,League
422,Premier League,Barbados,League
